Name,Symbol,Price,Market Cap,Volume,24h Change,Category
Bitcoin,btc,109330,2174368334687,15273679979,1.07395,Others
Ethereum,eth,2589.23,312552580410,9355875405,2.816,Others
Tether,usdt,1,158638957664,32598964163,-0.00974,Others
XRP,xrp,2.27,134369606777,2245507034,2.74027,Others
BNB,bnb,663.53,96800553611,412407795,1.19769,Others
Solana,sol,152.9,81786681615,3456159089,3.69862,Others
USDC,usdc,0.999853,62220289555,4385838734,-0.00071,Others
TRON,trx,0.286167,27121244364,291213671,0.97655,Others
Dogecoin,doge,0.172716,25897490019,1212870538,5.15137,Others
Lido Staked Ether,steth,2588.41,23544314509,7362123,2.84954,Others
Cardano,ada,0.590211,21336163397,367581483,2.6656,Others
Wrapped Bitcoin,wbtc,109227,14081738323,112461421,1.03645,Others
Hyperliquid,hype,40,13355285205,130055042,2.49325,Others
Wrapped stETH,wsteth,3133.6,10599554170,18543192,3.17042,Others
Sui,sui,2.94,10154749476,584558306,1.54496,Others
Bitcoin Cash,bch,494.35,9830474948,173405596,1.34864,Others
Chainlink,link,13.62,9241190203,214292746,3.00606,Others
LEO Token,leo,9.02,8329799881,1720657,-0.12117,Others
Avalanche,avax,18.49,7809767414,175654826,3.46958,Others
Stellar,xlm,0.249983,7733278991,165340245,5.27645,Others
USDS,usds,0.999856,7391306207,3313816,0.00961,Others
Toncoin,ton,2.83,6995155568,645011394,2.82252,Others
Wrapped eETH,weeth,2775.62,6992444120,3104430,2.93752,Others
Shiba Inu,shib,0.00001185,6983036817,125081256,3.49616,Others
Hedera,hbar,0.160487,6805073906,133703137,4.02081,Others
WETH,weth,2589.3,6791206919,34247351,2.84038,Others
Litecoin,ltc,87.83,6679087919,246691857,0.41844,Others
WhiteBIT Coin,wbt,45.01,6486214966,35060551,-0.58621,Others
Binance Bridged USDT (BNB Smart Chain),bsc-usd,1.001,6291020476,4623349521,0.07643,Others
Monero,xmr,321.42,5929149606,70459365,2.08946,Others
Coinbase Wrapped BTC,cbbtc,109281,5410227363,156247421,1.04432,Others
Ethena USDe,usde,0.999399,5303902267,99583062,-0.07103,Others
Bitget Token,bgb,4.48,5246417801,32825668,2.36901,Others
Polkadot,dot,3.43,5215597847,146322621,2.28745,Others
Uniswap,uni,7.5,4504635825,478499513,6.53879,Others
Aave,aave,289.45,4394330814,338377156,5.53606,Others
Pepe,pepe,0.00001022,4300338526,648705821,5.41639,Others
